rank	d3_id	country	pop_2014	pop_2015	Continent	gdp	mortality
1	156	China	1393783836 	1401586609 	Asia	10356508	11.65
2	356	India	1267401849 	1282390303 	Asia	2051228	41.36
3	840	United States	322583006 	325127634 	North America	17348075	5.97
4	360	Indonesia	252812245 	255708785 	Asia	888648	24.97
5	76	Brazil	202033670 	203657210 	South America	2346583	20.33
6	586	Pakistan	185132926 	188144040 	Asia	246849	69.84
7	566	Nigeria	178516904 	183523432 	Africa	573999	76.31
8	50	Bangladesh	158512570 	160411249 	Asia	183824	33.1
9	643	Russia	142467651 	142098141 	Europe	1860598	8.25
10	392	Japan	126999808 	126818019 	Asia	4602367	2.2
11	484	Mexico	123799215 	125235587 	North America	1291062	18.79
12	608	Philippines	100096496 	101802706 	Asia	284618	23.17
13	231	Ethiopia	96506031 	98942102 	Africa	54809	49.99
14	704	Vietnam	92547959 	93386630 	Asia	185897	19.32
15	818	Egypt	83386739 	84705681 	Africa	286435	18.92
16	276	Germany	82652256 	82562004 	Europe	3874437	3.1
17	364	Iran	78470222 	79476308 	Asia	416490	14.78
18	792	Turkey	75837020 	76690509 	Asia	798332	12.61
19	180	Democratic Republic of the Congo	69360118 	71246355 	Africa	35918	73.18
20	764	Thailand	67222972 	67400746 	Asia	404824	11.25
21	250	France	64641279 	64982894 	Europe	2833687	3.34
22	826	United Kingdom	63489234 	63843856 	Europe	2950039	4.19
23	380	Italy	61070224 	61142221 	Europe	2147744	2.3
24	104	Myanmar	53718958 	54164262 	Asia	63135	46.47
25	710	South Africa	53139528 	53491333 	Africa	350082	38.32
26	834	Tanzania	50757459 	52290796 	Africa	48089	36.96
27	410	South Korea	49512026 	49750234 	Asia	1410383	2.91
28	170	Colombia	48929706 	49529208 	South America	377867	17.92
29	724	Spain	47066402 	47199069 	Europe	1406538	3
30	404	Kenya	45545980 	46748617 	Africa	60937	52.48
31	804	Ukraine	44941303 	44646131 	Europe	130660	9.16
32	32	Argentina	41803125 	42154914 	South America	543061	13.69
33	12	Algeria	39928947 	40633464 	Africa	213518	30.28
34	800	Uganda	38844624 	40141262 	Africa	27616	61.2
35	736	Sudan	38764090 	39613217 	Africa	74766	53.32
36	616	Poland	38220543 	38221584 	Europe	547894	4.58
37	124	Canada	35524732 	35871283 	North America	1785387	4.73
38	368	Iraq	34768761 	35766702 	Asia	223508	32.13
39	504	Morocco	33492909 	33955157 	Africa	110009	26.3
40	4	Afghanistan	31280518 	32006788 	Asia	20444	71.12
41	862	Venezuela	30851343 	31292702 	South America	206252	13.78
42	604	Peru	30769077 	31161167 	South America	202642	18.63
43	458	Malaysia	30187896 	30651176 	Asia	338108	6.76
44	682	Saudi Arabia	29369428 	29897741 	Asia	746248	15.34
